time_ps,msd_total_A2,msd_total_std_A2,msd_x_A2,msd_y_A2,msd_z_A2
0.000000000000000000e+00,6.292388832207507544e-12,7.439802961100594134e-12,1.841726771090179601e-12,2.427213985356502396e-12,2.023448075760825143e-12
1.000000000000000000e+00,6.079631000355386838e+00,2.053596615100558243e+00,2.020735485235911622e+00,2.035569451223281146e+00,2.023326063896193627e+00
2.000000000000000000e+00,1.494696850485891026e+01,6.180181257484510304e+00,4.943878042793755867e+00,4.999734670831905703e+00,5.003355791233246919e+00
3.000000000000000000e+00,2.303490094535933963e+01,1.010308089463187997e+01,7.597136870046194090e+00,7.694557412993328072e+00,7.743206662319818356e+00
4.000000000000000000e+00,3.003169727881389051e+01,1.348991243219300706e+01,9.875314166317275877e+00,1.004355076430621452e+01,1.011283234819039833e+01
5.000000000000000000e+00,3.641606909775289580e+01,1.656969981999665720e+01,1.193285371932809014e+01,1.220712536782393087e+01,1.227609001060087834e+01
6.000000000000000000e+00,4.255413366835795586e+01,1.954964463927122154e+01,1.390557946957040336e+01,1.429210683300119022e+01,1.435644736578636227e+01
7.000000000000000000e+00,4.853509930017253993e+01,2.248728238512540401e+01,1.581686111089499036e+01,1.631102696956032361e+01,1.640721121971722951e+01
8.000000000000000000e+00,5.439537168690185354e+01,2.538582268430806366e+01,1.767232069350133727e+01,1.828940465451420394e+01,1.843364633888631232e+01
9.000000000000000000e+00,6.010709693474052528e+01,2.821503255639356667e+01,1.948384879531561609e+01,2.019844806807445181e+01,2.042480007135045383e+01
1.000000000000000000e+01,6.567788510303830662e+01,3.096398427848306412e+01,2.125763614173771288e+01,2.204750943658773110e+01,2.237273952471286620e+01
1.100000000000000000e+01,7.110913421101493270e+01,3.366547264559199704e+01,2.297249223464529422e+01,2.384723845174726975e+01,2.428940352462235808e+01
1.200000000000000000e+01,7.646082304589114642e+01,3.636761176077229862e+01,2.465249185227597195e+01,2.562727037239283234e+01,2.618106082122233857e+01
1.300000000000000000e+01,8.173899407684662322e+01,3.907640203228955045e+01,2.628127695155576049e+01,2.738970583395653335e+01,2.806801129133432227e+01
1.400000000000000000e+01,8.699729866151771773e+01,4.179696790470313061e+01,2.791391329435184687e+01,2.913805407153695270e+01,2.994533129562892526e+01
1.500000000000000000e+01,9.224047354562858914e+01,4.452126540460546522e+01,2.955902976892437550e+01,3.088653776141278939e+01,3.179490601529141003e+01
1.600000000000000000e+01,9.744565635300675410e+01,4.725743769375932146e+01,3.120095682851103192e+01,3.262455623813605854e+01,3.362014328635966365e+01
1.700000000000000000e+01,1.026227739662470384e+02,5.000026349093292310e+01,3.282256138626146225e+01,3.435591054645986020e+01,3.544430203352571596e+01
1.800000000000000000e+01,1.078185453930450848e+02,5.280981737953005961e+01,3.442007110814579107e+01,3.609643774689787676e+01,3.730203653800143826e+01
1.900000000000000000e+01,1.129945281849104788e+02,5.560782282789109132e+01,3.599425273478207998e+01,3.783913838591335832e+01,3.916113706421503338e+01
2.000000000000000000e+01,1.181285702750013087e+02,5.841995956444132787e+01,3.755394929845989793e+01,3.958080532006162144e+01,4.099381565647978931e+01
2.100000000000000000e+01,1.232486043330569885e+02,6.126440899170029297e+01,3.912856190010832336e+01,4.132979207348689954e+01,4.279025035946178690e+01
2.200000000000000000e+01,1.283463665152869453e+02,6.412008678223720892e+01,4.070456828842166175e+01,4.308224321190509443e+01,4.455955501496020332e+01
2.300000000000000000e+01,1.334194737782887330e+02,6.696592912713263956e+01,4.227989598747363686e+01,4.483630571200362880e+01,4.630327207881148155e+01
2.400000000000000000e+01,1.384265588547263235e+02,6.979751939198614252e+01,4.384487768758319248e+01,4.657663434579402661e+01,4.800504682134909018e+01
2.500000000000000000e+01,1.433592211454248968e+02,7.259216580983107292e+01,4.537974914940576099e+01,4.827863099670289415e+01,4.970084099931624877e+01
2.600000000000000000e+01,1.482502765042647468e+02,7.533790022933925457e+01,4.689134992200290952e+01,4.995819158245916469e+01,5.140073499980269389e+01
2.700000000000000000e+01,1.531466317388532730e+02,7.806377560886363653e+01,4.839952145751905732e+01,5.162483809003435908e+01,5.312227219129986366e+01
2.800000000000000000e+01,1.580367253766020781e+02,8.078335416435103866e+01,4.990093811844188565e+01,5.328814111329247538e+01,5.484764614486773837e+01
2.900000000000000000e+01,1.629153390146162792e+02,8.352017494241300710e+01,5.138685993802727126e+01,5.493726649582250587e+01,5.659121258076650207e+01
3.000000000000000000e+01,1.678036210506624570e+02,8.626177388416743952e+01,5.285630012404633504e+01,5.658950219008949034e+01,5.835781873652659613e+01
3.100000000000000000e+01,1.727041658311577521e+02,8.903419514761893083e+01,5.432886753070512498e+01,5.823226672001336368e+01,6.014303158043925635e+01
3.200000000000000000e+01,1.776323870726956216e+02,9.184503214387297021e+01,5.582990456359986098e+01,5.985254723749612538e+01,6.194993527159963520e+01
3.300000000000000000e+01,1.825916637469006787e+02,9.468409520134898116e+01,5.736348777398692533e+01,6.147695466309526324e+01,6.375122130981851853e+01
3.400000000000000000e+01,1.875361813488568998e+02,9.753888310829412944e+01,5.889437656186871806e+01,6.308925115412043994e+01,6.555255363286772763e+01
3.500000000000000000e+01,1.924457696366550294e+02,1.004160023522087641e+02,6.040757615261281899e+01,6.467955711396480467e+01,6.735863637007739158e+01
3.600000000000000000e+01,1.973410247918323819e+02,1.032991919277421573e+02,6.192100646483027049e+01,6.626589404617216417e+01,6.915412428082993301e+01
3.700000000000000000e+01,2.022490285815744926e+02,1.062099208354988491e+02,6.342795047137246911e+01,6.785266033382801254e+01,7.096841777637399673e+01
3.800000000000000000e+01,2.071988684379803090e+02,1.091168300442240167e+02,6.494402420479136140e+01,6.943924845701715753e+01,7.281559577617181844e+01
3.900000000000000000e+01,2.121721945038140689e+02,1.120309775699089698e+02,6.644580414661301404e+01,7.104685009715180399e+01,7.467954026004926504e+01
4.000000000000000000e+01,2.171767163732817494e+02,1.149783486558623764e+02,6.792818539253839560e+01,7.267354377286260103e+01,7.657498720788075275e+01
4.100000000000000000e+01,2.222145391034457589e+02,1.179461888499647699e+02,6.940980980397053202e+01,7.431860381757265088e+01,7.848612548190260441e+01
4.200000000000000000e+01,2.272349296411044293e+02,1.209367108702119822e+02,7.089736705953139051e+01,7.593914725261221577e+01,8.039841532896079457e+01
4.300000000000000000e+01,2.322423491071372155e+02,1.239432313196791853e+02,7.239096625352833314e+01,7.755531546953125144e+01,8.229606738407768773e+01
4.400000000000000000e+01,2.372227739751448894e+02,1.269370640276106030e+02,7.388404216412314440e+01,7.917279195083612819e+01,8.416593986018565943e+01
4.500000000000000000e+01,2.421903293034185936e+02,1.299531865976302072e+02,7.536336979201760755e+01,8.080980020375594108e+01,8.601715930764501650e+01
4.600000000000000000e+01,2.471186667286627312e+02,1.329848198225875251e+02,7.682280932597815593e+01,8.244558997846088744e+01,8.785026742422368784e+01
4.700000000000000000e+01,2.520011149076499350e+02,1.360072391623915564e+02,7.827666148453367612e+01,8.404637511649052328e+01,8.967807830662570723e+01
4.800000000000000000e+01,2.568911214774037717e+02,1.390565182055012201e+02,7.975441158416441567e+01,8.562308780843861200e+01,9.151362208480074401e+01
4.900000000000000000e+01,2.618438156866653230e+02,1.421201281104532370e+02,8.128913291690136589e+01,8.717908178168522682e+01,9.337560098807878717e+01
5.000000000000000000e+01,2.668206275658679942e+02,1.451987133965832584e+02,8.284593356309147794e+01,8.872574386738742191e+01,9.524895013538913702e+01
5.100000000000000000e+01,2.718408408505651437e+02,1.482877882970797714e+02,8.442592738081987136e+01,9.028847981592215888e+01,9.712643365382311345e+01
5.200000000000000000e+01,2.768570470832668207e+02,1.513953559764776742e+02,8.600041214234234133e+01,9.185934317391351556e+01,9.899729176701093536e+01
5.300000000000000000e+01,2.818222537471266378e+02,1.544965260057273326e+02,8.755268400114680105e+01,9.342153557196273539e+01,1.008480341740171013e+02
5.400000000000000000e+01,2.867552363417358947e+02,1.575985286271370001e+02,8.909484701577061116e+01,9.496717946296915613e+01,1.026932098629961558e+02
5.500000000000000000e+01,2.916884794961842999e+02,1.607093641231069796e+02,9.063548929122757158e+01,9.651647387498675812e+01,1.045365163299698850e+02
5.600000000000000000e+01,2.966468646230597415e+02,1.638183204401269677e+02,9.218990744347229338e+01,9.807412193982220572e+01,1.063828352397651997e+02
5.700000000000000000e+01,3.016352870643410711e+02,1.669581726954281748e+02,9.373066338711562651e+01,9.964874194501676641e+01,1.082558817322086213e+02
5.800000000000000000e+01,3.066625632605381497e+02,1.701253119518660810e+02,9.526368881480581763e+01,1.012465992866203095e+02,1.101522751591119231e+02
5.900000000000000000e+01,3.116529399138784129e+02,1.732795769903744656e+02,9.678502918690401202e+01,1.028286615899563969e+02,1.120392491370180323e+02
6.000000000000000000e+01,3.165649558627873148e+02,1.764132353617189040e+02,9.830161919566403128e+01,1.043688808756960213e+02,1.138944557914273048e+02
6.100000000000000000e+01,3.214306910233698886e+02,1.795240878888894542e+02,9.980547254658817735e+01,1.058882038615698065e+02,1.157370146152119332e+02
6.200000000000000000e+01,3.262802782941843134e+02,1.826073824889416244e+02,1.013168799754627400e+02,1.073884174626117129e+02,1.175749808561098462e+02
6.300000000000000000e+01,3.311183233474938561e+02,1.857054305289129843e+02,1.028497329986846296e+02,1.088847676871500454e+02,1.193838226616591527e+02
6.400000000000000000e+01,3.359615869827285906e+02,1.888455201590275863e+02,1.043923136384167236e+02,1.103990741735849213e+02,1.211701991707268746e+02
6.500000000000000000e+01,3.407983101100925296e+02,1.920022672242847932e+02,1.059221676708741882e+02,1.119288195665600369e+02,1.229473228726583613e+02
6.600000000000000000e+01,3.456178119841130751e+02,1.951582212691647555e+02,1.074380298677180008e+02,1.134497374741948050e+02,1.247300446422002835e+02
6.700000000000000000e+01,3.504030156648474303e+02,1.982946247561212658e+02,1.089336452653131744e+02,1.149401992557849610e+02,1.265291711437492665e+02
6.800000000000000000e+01,3.552371545122711609e+02,2.014690823290451362e+02,1.104473540876875433e+02,1.164337138382817329e+02,1.283560865863018421e+02
6.900000000000000000e+01,3.600893343988109336e+02,2.046632509631957078e+02,1.119891238409341412e+02,1.179191490787559360e+02,1.301810614791208423e+02
7.000000000000000000e+01,3.648992735098858020e+02,2.078423205077608600e+02,1.135142532586909994e+02,1.194016755208906488e+02,1.319833447303042249e+02
7.100000000000000000e+01,3.696831625965509147e+02,2.110169895112326230e+02,1.150221675828653360e+02,1.208741034806386097e+02,1.337868915330469122e+02
7.200000000000000000e+01,3.744636253911558015e+02,2.142168017668280413e+02,1.165121132571065061e+02,1.223560512191397294e+02,1.355954609149096086e+02
7.300000000000000000e+01,3.792338360746228432e+02,2.174361603587868785e+02,1.179776801213551352e+02,1.238479207123313728e+02,1.374082352409363068e+02
7.400000000000000000e+01,3.840135920009865913e+02,2.206717103290386035e+02,1.194372156399177101e+02,1.253603715530786786e+02,1.392160048079901458e+02
7.500000000000000000e+01,3.888077037244917165e+02,2.239442648619211127e+02,1.209147739863175985e+02,1.268819705705852527e+02,1.410109591675887941e+02
7.600000000000000000e+01,3.936138185984112283e+02,2.272311286364939917e+02,1.224093190494562862e+02,1.284031227620908737e+02,1.428013767868640400e+02
7.700000000000000000e+01,3.984201250942373917e+02,2.305252295531959987e+02,1.239022089967592990e+02,1.299368798179318105e+02,1.445810362795462538e+02
7.800000000000000000e+01,4.031839188391710422e+02,2.338332648570363688e+02,1.253714755506792642e+02,1.314735973313669888e+02,1.463388459571247608e+02
7.900000000000000000e+01,4.079249858608350792e+02,2.371774155747569921e+02,1.268370439200917446e+02,1.329938786151331840e+02,1.480940633256101080e+02
8.000000000000000000e+01,4.127228443275186009e+02,2.405335593778445116e+02,1.283244124036784228e+02,1.345037344231373595e+02,1.498946975007027618e+02
8.100000000000000000e+01,4.175385164397497419e+02,2.438860932430164041e+02,1.298286178729173628e+02,1.359939825948971475e+02,1.517159159719352033e+02
8.200000000000000000e+01,4.223511430133691533e+02,2.472085648082444038e+02,1.313232266415191987e+02,1.374955333487454538e+02,1.535323830231045008e+02
8.300000000000000000e+01,4.271796987778159860e+02,2.504969819683366268e+02,1.328117273234813922e+02,1.390163032589873922e+02,1.553516681953471732e+02
8.400000000000000000e+01,4.320091313049672976e+02,2.537853249692248312e+02,1.343000359594818178e+02,1.405471625854706588e+02,1.571619327600148495e+02
8.500000000000000000e+01,4.368387482686213161e+02,2.570900720101479351e+02,1.357983236114913268e+02,1.420854518066775256e+02,1.589549728504524069e+02
8.600000000000000000e+01,4.416527987116677423e+02,2.604004862454710292e+02,1.373142629697942141e+02,1.436079677868071371e+02,1.607305679550663626e+02
8.700000000000000000e+01,4.464698969147715388e+02,2.637403633534234473e+02,1.388215926917166314e+02,1.451300580026442333e+02,1.625182462204107026e+02
8.800000000000000000e+01,4.513037146563812598e+02,2.671103196369268744e+02,1.403166021583287773e+02,1.466695600562276809e+02,1.643175524418249154e+02
8.900000000000000000e+01,4.561767636845623883e+02,2.705107853797205735e+02,1.418241153477894443e+02,1.482271285266189977e+02,1.661255198101539179e+02
9.000000000000000000e+01,4.610314820931692452e+02,2.738584303318030493e+02,1.433365402135515581e+02,1.497810448211245102e+02,1.679138970584932053e+02
9.100000000000000000e+01,4.658566989421648259e+02,2.771734493316545809e+02,1.448507937464147517e+02,1.513350808459194354e+02,1.696708243498306103e+02
9.200000000000000000e+01,4.706719776232397408e+02,2.804883398783467214e+02,1.463786785987840915e+02,1.528834602020142768e+02,1.714098388224413725e+02
9.300000000000000000e+01,4.754787779161197250e+02,2.838111696868710396e+02,1.479062763457415599e+02,1.544295868964525766e+02,1.731429146739255316e+02
9.400000000000000000e+01,4.802898160002148984e+02,2.871231767873851481e+02,1.494129453287874583e+02,1.560027777749458551e+02,1.748740928964816419e+02
9.500000000000000000e+01,4.851455826089033394e+02,2.904318706479346019e+02,1.509550231566890375e+02,1.575793947975940341e+02,1.766111646546203531e+02
9.600000000000000000e+01,4.900246683911776699e+02,2.937765943677454175e+02,1.525302641233550958e+02,1.591250768083810101e+02,1.783693274594416494e+02
9.700000000000000000e+01,4.948860666145355935e+02,2.971193729191361399e+02,1.541216462073157345e+02,1.606431272256515115e+02,1.801212931815683760e+02
9.800000000000000000e+01,4.997568353933303911e+02,3.004518473001853636e+02,1.557135383175086076e+02,1.621660432737575661e+02,1.818772538020641889e+02
9.900000000000000000e+01,5.046507395964446232e+02,3.037431647499876703e+02,1.573157191626118845e+02,1.637043168757333262e+02,1.836307035580994125e+02
1.000000000000000000e+02,5.095190587541395644e+02,3.070019764050964000e+02,1.589086788843214890e+02,1.652331196461310014e+02,1.853772602236870455e+02
