# Step MSD(atom)
# TimeStep c_msd_co2[4]
0 8.92465e-29
1000 5.32563
2000 12.7966
3000 17.6223
4000 21.4132
5000 32.0774
6000 36.3687
7000 47.6127
8000 61.3684
9000 65.6021
10000 75.7938
11000 82.4334
12000 86.2227
13000 77.1609
14000 77.7913
15000 82.4378
16000 84.8453
17000 94.9319
18000 96.9282
19000 104.149
20000 122.909
21000 141.166
22000 163.436
23000 159.902
24000 151.368
25000 145.714
26000 143.013
27000 138.086
28000 154.203
29000 167.472
30000 171.531
31000 171.819
32000 182.601
33000 195.405
34000 194.833
35000 198.186
36000 206.033
37000 204.716
38000 223.808
39000 250.278
40000 241.411
41000 260.287
42000 267.895
43000 266.671
44000 265.437
45000 278.223
46000 281.147
47000 275.629
48000 281.41
49000 270.281
50000 263.109
51000 252.408
52000 243.428
53000 241.587
54000 249.394
55000 265.444
56000 284.473
57000 282.457
58000 295.558
59000 268.834
60000 259.122
61000 253.247
62000 251.27
63000 244.581
64000 251.468
65000 271.236
66000 295.065
67000 295.162
68000 303.257
69000 332.66
70000 345.381
71000 347.899
72000 324.18
73000 322.855
74000 313.793
75000 308.639
76000 335.302
77000 334.331
78000 345.042
79000 337.109
80000 320.816
81000 307.44
82000 310.96
83000 320.316
84000 322.661
85000 320.553
86000 320.044
87000 309.136
88000 301.719
89000 325.94
90000 331.126
91000 331.083
92000 325.924
93000 324.123
94000 326.929
95000 338.312
96000 356.138
97000 362.432
98000 375.239
99000 394.842
100000 383.659
101000 386.603
102000 404.465
103000 431.543
104000 426.539
105000 407.341
106000 407.694
107000 394.734
108000 396.799
109000 436.183
110000 449.886
111000 436.923
112000 413.858
113000 426.947
114000 446.935
115000 469.279
116000 455.727
117000 453.904
118000 465.932
119000 466.043
120000 485.513
121000 486.205
122000 495.294
123000 507.463
124000 514.299
125000 506.115
126000 479.905
127000 462.918
128000 463.746
129000 481.093
130000 486.462
131000 491.374
132000 513.26
133000 497.558
134000 503.344
135000 519.014
136000 508.146
137000 511.439
138000 502.396
139000 511.294
140000 482.83
141000 497.48
142000 543.152
143000 583.895
144000 602.26
145000 621.236
146000 638.455
147000 620.325
148000 618.1
149000 584.804
150000 578.494
151000 598.709
152000 597.318
153000 597.683
154000 629.785
155000 634.471
156000 646.299
157000 666.725
158000 687.525
159000 698.036
160000 717.495
161000 722.934
162000 714.959
163000 734.562
164000 734.921
165000 737.033
166000 726.313
167000 727.994
168000 721.171
169000 699.097
170000 691.895
171000 678.1
172000 655.849
173000 660.699
174000 668.264
175000 670.254
176000 678.892
177000 651.686
178000 628.61
179000 633.615
180000 635.05
181000 637.896
182000 665.256
183000 720.552
184000 752.322
185000 744.991
186000 748.194
187000 757.798
188000 747.29
189000 751.706
190000 737.145
191000 700.724
192000 702.839
193000 705.929
194000 688.071
195000 705.141
196000 700.946
197000 718.176
198000 725.281
199000 716.967
200000 718.615
201000 739.537
202000 760.082
203000 805.509
204000 831.689
205000 879.107
206000 880.877
207000 888.291
208000 892.333
209000 896.897
210000 899.935
211000 902.319
212000 879.214
213000 884.424
214000 904.908
215000 918.227
216000 938.114
217000 938.071
218000 950.124
219000 946.082
220000 944.372
221000 933.9
222000 940.257
223000 991.576
224000 1022.4
225000 1012.64
226000 998.576
227000 986.691
228000 980.55
229000 1012.03
230000 1000.96
231000 1012.71
232000 1031.44
233000 1054.92
234000 1040.93
235000 1046.67
236000 1051.13
237000 1050.32
238000 1020.81
239000 999.681
240000 996.897
241000 991.639
242000 1026
243000 1030.57
244000 1043.88
245000 1043.41
246000 1030.14
247000 1023.86
248000 1074.39
249000 1110.05
250000 1094.44
251000 1119.11
252000 1130.74
253000 1125.31
254000 1119.55
255000 1103.57
256000 1066.26
257000 1071.35
258000 1074.27
259000 1093.65
260000 1101.95
261000 1107.5
262000 1116.1
263000 1164.56
264000 1163.29
265000 1142.42
266000 1148.91
267000 1158.22
268000 1192.93
269000 1216.68
270000 1177.97
271000 1176.74
272000 1189.86
273000 1188.05
274000 1236.56
275000 1257.79
276000 1267.67
277000 1263.86
278000 1259.78
279000 1293.01
280000 1296.09
281000 1247.92
282000 1226.72
283000 1235.39
284000 1297.18
285000 1299.27
286000 1305.34
287000 1284.01
288000 1294.68
289000 1299.75
290000 1310
291000 1307.04
292000 1328.78
293000 1372.68
294000 1385.97
295000 1379.08
296000 1361.6
297000 1369.92
298000 1399.43
299000 1403.66
300000 1396.13
301000 1375.16
302000 1372.83
303000 1367.77
304000 1350.57
305000 1334.78
306000 1346.21
307000 1339.76
308000 1302.64
309000 1280.37
310000 1269.84
311000 1253.86
312000 1289.47
313000 1308.02
314000 1291.52
315000 1291.37
316000 1269.24
317000 1267.26
318000 1300.32
319000 1290.24
320000 1313.07
321000 1314.26
322000 1329.2
323000 1331.54
324000 1376.18
325000 1380.17
326000 1366.93
327000 1341.75
328000 1308.98
329000 1283.62
330000 1276.45
331000 1281.5
332000 1294.08
333000 1282.71
334000 1285.48
335000 1294.43
336000 1305.43
337000 1318.91
338000 1346.03
339000 1366.34
340000 1394.28
341000 1426.98
342000 1480.03
343000 1539.94
344000 1548.07
345000 1541.52
346000 1544.98
347000 1578.14
348000 1559.85
349000 1533.67
350000 1511.34
351000 1480.95
352000 1508.09
353000 1557.28
354000 1552.28
355000 1553.55
356000 1596.94
357000 1595.39
358000 1609.16
359000 1617.45
360000 1626.45
361000 1642.31
362000 1697.33
363000 1715.81
364000 1697.18
365000 1731.08
366000 1734.55
367000 1721.61
368000 1714.94
369000 1683.91
370000 1665.75
371000 1677.59
372000 1657.47
373000 1638.58
374000 1622.45
375000 1616.67
376000 1653.39
377000 1765.99
378000 1860.86
379000 1909.89
380000 1880.67
381000 1862.23
382000 1829.47
383000 1806.48
384000 1780.26
385000 1807.97
386000 1803.71
387000 1770.13
388000 1765.04
389000 1730.14
390000 1742.5
391000 1759.63
392000 1722.12
393000 1753.41
394000 1779.08
395000 1762.44
396000 1773.68
397000 1737.41
398000 1736.39
399000 1760.05
400000 1757.74
401000 1720.84
402000 1744.98
403000 1774.46
404000 1738.99
405000 1718.63
406000 1715.95
407000 1740.37
408000 1798.32
409000 1746.28
410000 1740.26
411000 1779.37
412000 1861.38
413000 1874.37
414000 1850.13
415000 1903.08
416000 2000.49
417000 2072.68
418000 2074.03
419000 2051.45
420000 2016.3
421000 1962.82
422000 1938.14
423000 1956.54
424000 1918.25
425000 1891.56
426000 1862.92
427000 1866.35
428000 1888.28
429000 1920.4
430000 1942.18
431000 1988.84
432000 2026.02
433000 2028.04
434000 1996.55
435000 1930.48
436000 1902.53
437000 1911.72
438000 1941
439000 1966.76
440000 1986.67
441000 2012.75
442000 2007.74
443000 2015.7
444000 2037.47
445000 2022.8
446000 2030.49
447000 2106.82
448000 2127.78
449000 2133.29
450000 2134.24
451000 2116.96
452000 2076.58
453000 2095.13
454000 2124.76
455000 2148.69
456000 2166.37
457000 2142.14
458000 2082.91
459000 2049.89
460000 1979.76
461000 1974.57
462000 2005.49
463000 1963.35
464000 1996.92
465000 2062.04
466000 2077.72
467000 2086.39
468000 2079.87
469000 2087.17
470000 2059.76
471000 2102.88
472000 2052.52
473000 2124.28
474000 2168.84
475000 2213.75
476000 2249.28
477000 2249.49
478000 2265.19
479000 2350.88
480000 2369.32
481000 2422.76
482000 2470.65
483000 2440.36
484000 2463.95
485000 2471.07
486000 2457.54
487000 2450.21
488000 2421.75
489000 2411.47
490000 2398.22
491000 2326.46
492000 2312.94
493000 2336.52
494000 2358.14
495000 2385.47
496000 2382.52
497000 2375.42
498000 2358.64
499000 2421.7
500000 2466.22
